subject_id,marker,motion_correction,hpf,response_m5_30,response_minus_baseline_m5_30,n_events
P01,M3,none,0,-0.46826065150727902,-0.50851549434889542,3
P01,M4,none,0,0.53782337130903968,-0.27264886205160532,3
P01,M5,none,0,4.0146081802161541e-2,-0.11788222915791025,3
P01,M6,none,0,0.14058874797738899,-1.1215068971599909,3
P02,M3,none,0,0.27501144823212009,-2.5370271565702502e-2,3
P02,M4,none,0,-4.71983950615336416e-1,-0.15028081913234903,3
P02,M5,none,0,0.40157113912778752,-1.0940477210846574e-2,3
P02,M6,none,0,-0.11242609454962532,0.086561314388307914,3
P03,M3,none,0,-0.13992068811524097,-0.11432661934574728,3
P03,M4,none,0,-6.766504126119663e-2,-0.2400791334334671,3
P03,M5,none,0,0.093026098238091645,0.17900083602991601,3
P03,M6,none,0,2.1217007949445662e-2,9.688194730095426e-2,3
P04,M3,none,0,-0.41203825862108256,4.568807206400538e-1,3
P04,M4,none,0,-0.15125457186842792,2.85262700207536593e-2,3
P04,M5,none,0,0.20323492302049417,-0.31657546339185205,3
P04,M6,none,0,9.228413839204870e-1,0.082566747122875331,3
P05,M3,none,0,-0.20101584086268415,-0.17861590342938508,3
P05,M4,none,0,0.023434234241273961,-0.33138936764293936,3
P05,M5,none,0,-0.32713878697325344,-0.29385450100240312,3
P05,M6,none,0,-0.31393764565342319,-0.08079279558738478,3
P06,M3,none,0,1.322413336684023e-1,-0.23380008598912877,3
P06,M4,none,0,-0.2186720013758516,-2.082512533586035e-1,3
P06,M5,none,0,-0.2823337077719546,-0.66739042092087408,3
P06,M6,none,0,-4.704870488958043840e-1,-4.244927537464050e-1,3
P07,M3,none,0,-0.15331159180244527,-0.29576490635439584,3
P07,M4,none,0,0.69843637711731854,0.4482303380394953,3
P07,M5,none,0,-0.01758878923343658,-0.080705245146475951,3
P07,M6,none,0,0.17699377311165815,0.04976308697949141,3
P08,M3,none,0,-0.02038885255374831,-2.5270988082409835e-2,3
P08,M4,none,0,2.520788341329457e-2,-1.3552991559162678e-2,3
P08,M5,none,0,-1.8760635107266182e-2,-2.5338264846955894e-2,3
P08,M6,none,0,-3.0508632269245014e-2,-1.4293361725365771e-2,3
P09,M3,none,0,-0.36595502652877177,-0.1548835743965363,3
P09,M4,none,0,-0.56809717558330253,-0.54481619979434726,3
P09,M5,none,0,-4.868279646895355e-1,-0.48576106729046414,3
P09,M6,none,0,-0.27273107178411904,-1.90174290899057456e-1,3
P10,M3,none,0,0.13355149389327073,-0.53952557450231931,3
P10,M4,none,0,-4.6397434368308741e-2,-4.33779181020099105e-1,3
P10,M5,none,0,0.077621685070736815,-0.33972542474612788,3
P10,M6,none,0,-0.53850064730412495,-0.40396084114614511,3
P11,M3,none,0,-0.11440956620219182,-0.016669276784652041,3
P11,M4,none,0,1.488902584496782250e-2,-0.23498100054251808,3
P11,M5,none,0,-0.39531237534762015,-0.04997427588622011,3
P11,M6,none,0,0.12888722702063402,-0.22565950453287492,3
P13,M3,none,0,1.5887362976636547e-2,-0.50224598518132391,3
P13,M4,none,0,-0.22438700264741532,-4.950954075221906e-1,3
P13,M5,none,0,-0.26448590979756975,-0.3798141265219559,3
P13,M6,none,0,0.31911015212627086,-4.60917731863759200e-2,3
P14,M3,none,0,0.14199120756735237,-0.29657967044655059,3
P14,M4,none,0,-4.136327416563095e-1,3.3155532093713523e-3,2
P14,M5,none,0,-1.1865353454556231e-2,-2.6808543502020267e-2,3
P14,M6,none,0,-2.02912759837181521e-1,0.13800047416155128,3
P15,M3,none,0,-0.77909538227408004,-3.75051494651253600e-1,3
P15,M4,none,0,0.28580448066263675,-1.1041979616219335,3
P15,M5,none,0,-0.80030011151048108,-0.71292481787946471,3
P15,M6,none,0,0.13364382260970409,-0.55471333397143896,3
P16,M3,none,0,-9.502864823672086e-2,6.124876589820956e-2,3
P16,M4,none,0,-0.66189400773008233,-0.30028888901020651,3
P16,M5,none,0,4.812979372455063e-1,-0.039523815096697293,3
P16,M6,none,0,-1.8231300137513507e-2,-0.30546397189563596,3
P17,M3,none,0,0.35432312960162821,-0.52791678571580503,3
P17,M4,none,0,-0.51361879922083831,-0.6019004882038852,3
P17,M5,none,0,5.7541235814749189e-2,0.54790100659319174,3
P17,M6,none,0,-0.28750926382970493,-6.103255494714921e-2,3
P18,M3,none,0,6.658155520920721e-2,-1.1311409155587775,3
P18,M4,none,0,2.2797221387863550e-2,-0.067162321028897104,3
P18,M5,none,0,4.785260518778077e-1,-0.60977658945590241,3
P18,M6,none,0,-0.57706012789985661,-0.31515575338519353,3
P19,M3,none,0,-0.38348485324612863,-0.22497028437363528,3
P19,M4,none,0,-0.65625581695138391,-0.22436933357475736,3
P19,M5,none,0,0.61222023075143162,-0.34975254779583964,3
P19,M6,none,0,-0.074607076047000523,-0.68321344530125394,3
P20,M3,none,0,-0.42748855546299735,-0.2507095225997657,3
P20,M4,none,0,-2.380453179994060330e-1,-0.087768936183982932,3
P20,M5,none,0,-5.243097215544361e-2,-0.38129775697897217,3
P20,M6,none,0,-0.27146869820443598,2.0140416672590371e-2,3
P21,M3,none,0,-0.065257090663992545,-0.15907300181477982,3
P21,M4,none,0,7.845356995893528e-2,-8.834495326550461e-2,3
P21,M5,none,0,1.4702844228857111e-2,7.580550122731067e-3,3
P21,M6,none,0,-2.23250690915619217e-1,-0.17223320454291863,3
P22,M3,none,0,-3.0546231980305667e-2,-0.75754154057892764,3
P22,M4,none,0,0.50873589564068167,-1.3074825058148372,3
P22,M5,none,0,0.45796290275201745,-0.85809995329781374,3
P22,M6,none,0,2.282948561881219e-2,-0.61191360929392147,3
P23,M3,none,0,-0.1377512750960565,-0.31624627638107194,3
P23,M4,none,0,0.04567642585800543,-0.12926562238086051,3
P23,M5,none,0,-4.613583398960719e-2,0.14822831653259172,3
P23,M6,none,0,0.097872599591789802,-0.45702230647258113,3
P24,M3,none,0,-0.85559066775914228,-0.055746961111566601,3
P24,M4,none,0,0.024959373857975201,-0.093573777065364142,3
P24,M5,none,0,1.0278750763559916,0.079697796618863101,3
P24,M6,none,0,-1.9621838004935555e-2,8.342822576174959e-2,3
P25,M3,none,0,-0.61367348868011762,-0.92729070393844526,3
P25,M4,none,0,-6.694227857614961e-2,-0.37666247627960758,3
P25,M5,none,0,0.24293323093295141,-2.37628953277307248e-1,3
P25,M6,none,0,-0.35556712184680106,-0.24328561504619947,3
P26,M3,none,0,2.4363143091809363e-2,-0.00240388012996066,3
P26,M4,none,0,3.691257770144970e-2,-1.7239521827641442e-2,3
P26,M5,none,0,2.8318628786499931e-2,-0.18607470218055999,3
P26,M6,none,0,0.15892544138718412,-0.14059604609913814,3
